category,method,auroc_mean,auroc_sd,ap_mean
hazelnut,DeepSVDD_head,0.7226190476190476,0.019591925311591072,0.8290291380739201
hazelnut,DROCC_head,0.4372619047619047,0.07469011946421183,0.6164882733960226
hazelnut,Bubble_A,0.746547619047619,0.13771844120385263,0.8673233803218512
hazelnut,Bubble_B,0.7416666666666667,0.14060743465504266,0.8655099940680747
hazelnut,Bubble_A+D,0.6494047619047619,0.1199624374317137,0.8032295685980406
hazelnut,Bubble_B+D,0.6463095238095238,0.1302907528265489,0.8038000424486955
leather,PatchScore_same_centers,1.0,0.0,1.0000000000000002
leather,PatchScore_byte_budget,1.0,0.0,1.0000000000000002
leather,RBF_SVDD,1.0,0.0,1.0000000000000002
leather,DeepSVDD_head,0.997848731884058,0.0025719693595108203,0.9993129306357172
leather,DROCC_head,0.8721693840579711,0.18261740632800194,0.9451446162711995
leather,Bubble_A,0.9479166666666666,0.05022734771350498,0.9657545484587352
leather,Bubble_B,0.9583333333333334,0.05915529526875284,0.9728467470402954
leather,Bubble_A+D,0.8965126811594203,0.03553504340953255,0.9437511217799495
leather,Bubble_B+D,0.8805480072463768,0.025793606276440055,0.9324561631131582
metal_nut,PatchScore_same_centers,0.9753991528185076,0.005664821978075488,0.9945983382707387
metal_nut,PatchScore_byte_budget,0.9982078853046593,0.0018504100181819425,0.9995904745594544
metal_nut,RBF_SVDD,0.34815900944933204,0.008328040351340587,0.7524119677489907
metal_nut,DeepSVDD_head,0.8740632127728901,0.01732394562728541,0.9702992400418949
metal_nut,DROCC_head,0.5154773541870316,0.025548253150348768,0.821144544994015
metal_nut,Bubble_A,0.6360377973281199,0.023324249160212782,0.8987441133468881
metal_nut,Bubble_B,0.6285434995112414,0.02928883336574518,0.8956194734750117
metal_nut,Bubble_A+D,0.591723688497882,0.04661776245670699,0.8737760808962213
metal_nut,Bubble_B+D,0.5808080808080808,0.04458253235280402,0.8653343472986094
pill,PatchScore_same_centers,0.8749772685942898,0.0041934361002364355,0.975671352131103
pill,PatchScore_byte_budget,0.9471722131296598,0.011781097899069294,0.9892545099266826
pill,RBF_SVDD,0.6746681214766322,0.0077601703194587635,0.9233933484778801
pill,DeepSVDD_head,0.7614111656664848,0.01717916869142229,0.9427034438401293
pill,DROCC_head,0.4837243135115476,0.06337137587483388,0.8352368762470105
pill,Bubble_A,0.6259319876341153,0.027269957079007135,0.9057403003417424
pill,Bubble_B,0.6328423349699945,0.04063551434705082,0.9087237980493726
pill,Bubble_A+D,0.6496635751954901,0.04704537768282057,0.9087906089540937
