category,method,auroc_mean,auroc_sd
transistor,PatchScore_byte_budget,0.9995833333333333,0.0004166666666666763
transistor,PatchScore_same_centers,0.9929166666666666,0.005120085719768576
transistor,RBF_SVDD,0.7755555555555556,0.006364688465216483
wood,Bubble_B,0.9697368421052631,0.028897484929875664
wood,Bubble_BA,0.9684210526315788,0.029708235476975615
wood,Bubble_BAD,0.9049707602339181,0.11299230824067333
wood,Bubble_BAF,0.9602339181286549,0.04612011207562334
wood,DROCC_head,0.6659356725146198,0.28022311623100704
wood,DeepSVDD_head,0.9587719298245613,0.009768007654087873
wood,NBD,0.8926900584795323,0.13194782600840807
wood,PatchScore_byte_budget,0.991812865497076,0.0020257904182091873
wood,PatchScore_same_centers,0.9900584795321636,0.0013399344137298031
wood,RBF_SVDD,0.9824561403508772,0.0008771929824560598
zipper,Bubble_B,0.9841123949579832,0.012957769420451183
zipper,Bubble_BA,0.9834558823529412,0.01301684215482544
zipper,Bubble_BAD,0.9739145658263305,0.020248421129728415
zipper,Bubble_BAF,0.9877450980392157,0.007720469139118464
zipper,DROCC_head,0.5521708683473389,0.04776404808699787
zipper,DeepSVDD_head,0.9013480392156863,0.00526084705928457
zipper,NBD,0.9747023809523809,0.01901001750502915
zipper,PatchScore_byte_budget,0.9939600840336137,0.0005252100840336116
zipper,PatchScore_same_centers,0.9844187675070027,0.0026823447909741587
zipper,RBF_SVDD,0.8938200280112044,0.0005466559872547375
