track,dataset,class_or_category,seed,variant,selection,selected_epoch,auroc,average_precision,test_count
DeepSVDD,mnist,6,7,one-class,fixed_final_epoch,150,0.9757933171065761,0.9965193755035102,10000
DeepSVDD,mnist,6,7,soft-boundary,fixed_final_epoch,150,0.9785192876296606,0.9967100850323096,10000
DeepSVDD,mnist,6,8,one-class,fixed_final_epoch,150,0.9766570663740863,0.9962543648758561,10000
DeepSVDD,mnist,6,8,soft-boundary,fixed_final_epoch,150,0.9731921411515456,0.9961437134129594,10000
DeepSVDD,mnist,6,9,one-class,fixed_final_epoch,150,0.979538770359062,0.9973879237391703,10000
DeepSVDD,mnist,6,9,soft-boundary,fixed_final_epoch,150,0.9802911165200302,0.9975470536691673,10000
DeepSVDD,mnist,6,10,one-class,fixed_final_epoch,150,0.9791010080999871,0.9971635658184231,10000
DeepSVDD,mnist,6,10,soft-boundary,fixed_final_epoch,150,0.9774993431257242,0.9971478570675801,10000
DeepSVDD,mnist,7,1,one-class,fixed_final_epoch,150,0.9319302507932157,0.991174286298141,10000
DeepSVDD,mnist,7,1,soft-boundary,fixed_final_epoch,150,0.9196620246126731,0.9896573329017953,10000
DeepSVDD,mnist,7,2,one-class,fixed_final_epoch,150,0.9408464466190535,0.992242561361589,10000
DeepSVDD,mnist,7,2,soft-boundary,fixed_final_epoch,150,0.9156978433552895,0.9890905988683809,10000
DeepSVDD,mnist,7,3,one-class,fixed_final_epoch,150,0.9569716246480621,0.994493169041247,10000
DeepSVDD,mnist,7,3,soft-boundary,fixed_final_epoch,150,0.9472934386443947,0.993321060820866,10000
DeepSVDD,mnist,7,4,one-class,fixed_final_epoch,150,0.9350804534990832,0.9914722962524776,10000
DeepSVDD,mnist,7,4,soft-boundary,fixed_final_epoch,150,0.929403962782613,0.9908999037008538,10000
DeepSVDD,mnist,7,5,one-class,fixed_final_epoch,150,0.9502798156304699,0.9936373665853236,10000
DeepSVDD,mnist,7,5,soft-boundary,fixed_final_epoch,150,0.933685712228793,0.9918367816795043,10000
DeepSVDD,mnist,7,6,one-class,fixed_final_epoch,150,0.936061130954756,0.991668779395455,10000
DeepSVDD,mnist,7,6,soft-boundary,fixed_final_epoch,150,0.9291980150958191,0.9905946676296526,10000
DeepSVDD,mnist,7,7,one-class,fixed_final_epoch,150,0.9276448692083109,0.9898003855135461,10000
DeepSVDD,mnist,7,7,soft-boundary,fixed_final_epoch,150,0.9269769351601437,0.9896057073676598,10000
DeepSVDD,mnist,7,8,one-class,fixed_final_epoch,150,0.9488818216986352,0.9933454040238893,10000
DeepSVDD,mnist,7,8,soft-boundary,fixed_final_epoch,150,0.9412666362795797,0.992405624788004,10000
DeepSVDD,mnist,7,9,one-class,fixed_final_epoch,150,0.9513037534846848,0.9933440908169052,10000
DeepSVDD,mnist,7,9,soft-boundary,fixed_final_epoch,150,0.9380949117964926,0.9917169820097926,10000
DeepSVDD,mnist,7,10,one-class,fixed_final_epoch,150,0.9346833035244974,0.9918127690798643,10000
DeepSVDD,mnist,7,10,soft-boundary,fixed_final_epoch,150,0.924998395353638,0.99087992166751,10000
DeepSVDD,mnist,8,1,one-class,fixed_final_epoch,150,0.9056343504118378,0.9870755782301819,10000
DeepSVDD,mnist,8,1,soft-boundary,fixed_final_epoch,150,0.9025098494834225,0.9876281247654176,10000
DeepSVDD,mnist,8,2,one-class,fixed_final_epoch,150,0.9212863727920846,0.9888061568117115,10000
DeepSVDD,mnist,8,2,soft-boundary,fixed_final_epoch,150,0.9110256885083521,0.9878991884841278,10000
DeepSVDD,mnist,8,3,one-class,fixed_final_epoch,150,0.9221837347821557,0.989313103360498,10000
DeepSVDD,mnist,8,3,soft-boundary,fixed_final_epoch,150,0.9255601317844729,0.990007983969746,10000
DeepSVDD,mnist,8,4,one-class,fixed_final_epoch,150,0.9327858920908841,0.990615591970416,10000
DeepSVDD,mnist,8,4,soft-boundary,fixed_final_epoch,150,0.924309125678908,0.9900838071076683,10000
DeepSVDD,mnist,8,5,one-class,fixed_final_epoch,150,0.9030866112999589,0.9859329114752706,10000
DeepSVDD,mnist,8,5,soft-boundary,fixed_final_epoch,150,0.8991727525910773,0.9862247731530978,10000
DeepSVDD,mnist,8,6,one-class,fixed_final_epoch,150,0.944904544525944,0.9925708073295856,10000
DeepSVDD,mnist,8,6,soft-boundary,fixed_final_epoch,150,0.9404419630080748,0.992105253145018,10000
DeepSVDD,mnist,8,7,one-class,fixed_final_epoch,150,0.9356165237454563,0.991258865029507,10000
DeepSVDD,mnist,8,7,soft-boundary,fixed_final_epoch,150,0.9314640206640092,0.9907687239546303,10000
DeepSVDD,mnist,8,8,one-class,fixed_final_epoch,150,0.9188102952410808,0.988716040578703,10000
DeepSVDD,mnist,8,8,soft-boundary,fixed_final_epoch,150,0.9224905145118073,0.9896280423596165,10000
DeepSVDD,mnist,8,9,one-class,fixed_final_epoch,150,0.9260721138249484,0.9895472019791747,10000
DeepSVDD,mnist,8,9,soft-boundary,fixed_final_epoch,150,0.9227990004690989,0.9895472695440791,10000
DeepSVDD,mnist,8,10,one-class,fixed_final_epoch,150,0.9349094061372326,0.9906481994240097,10000
DeepSVDD,mnist,8,10,soft-boundary,fixed_final_epoch,150,0.9413156653082061,0.9919684672884196,10000
DeepSVDD,mnist,9,1,one-class,fixed_final_epoch,150,0.9671365562236611,0.9957085862393417,10000
