track,dataset,class_or_category,seed,variant,auroc,average_precision,pixel_auroc,test_count,memory_bytes,selected_epoch,nu,selected_gamma,paper_reference_auroc_percent
DeepSVDD,cifar10,1,10,soft-boundary,0.5822544444444444,0.9258044607145224,,10000,,,0.1,,64.8
DeepSVDD,cifar10,2,1,one-class,0.4705801111111111,0.8885225238519345,,10000,,,0.1,,50.8
DeepSVDD,cifar10,2,1,soft-boundary,0.4583781111111111,0.8856467778966619,,10000,,,0.1,,49.5
DeepSVDD,cifar10,2,2,one-class,0.4733669444444444,0.8872590219162615,,10000,,,0.1,,50.8
DeepSVDD,cifar10,2,2,soft-boundary,0.4753341111111111,0.8875575063174141,,10000,,,0.1,,49.5
DeepSVDD,cifar10,2,3,one-class,0.4592774444444444,0.883973818612785,,10000,,,0.1,,50.8
DeepSVDD,cifar10,2,3,soft-boundary,0.4706287222222222,0.8864694920537275,,10000,,,0.1,,49.5
DeepSVDD,cifar10,2,4,one-class,0.4832852222222222,0.8917141834945327,,10000,,,0.1,,50.8
DeepSVDD,cifar10,2,4,soft-boundary,0.4909387777777778,0.8948063253458014,,10000,,,0.1,,49.5
DeepSVDD,cifar10,2,5,one-class,0.4801206111111111,0.889548099011875,,10000,,,0.1,,50.8
DeepSVDD,cifar10,2,5,soft-boundary,0.4787686666666667,0.8893288918789295,,10000,,,0.1,,49.5
DeepSVDD,cifar10,2,6,one-class,0.4908462222222222,0.8930547769229181,,10000,,,0.1,,50.8
DeepSVDD,cifar10,2,6,soft-boundary,0.4779118888888888,0.889143854529489,,10000,,,0.1,,49.5
