track,dataset,class_or_category,seed,variant,auroc,average_precision,pixel_auroc,test_count,memory_bytes,selected_epoch,nu,selected_gamma
DeepSVDD,mnist,6,6,one-class,0.9768233052066464,0.996590510848772,,10000,,,0.1,
DeepSVDD,mnist,6,6,soft-boundary,0.9756435867136384,0.9964777533963792,,10000,,,0.1,
DeepSVDD,mnist,6,7,one-class,0.9636855888017828,0.9933944101754998,,10000,,,0.1,
DeepSVDD,mnist,6,7,soft-boundary,0.963151315664916,0.9936606809085233,,10000,,,0.1,
DeepSVDD,mnist,6,8,one-class,0.9639026228331807,0.9946249243458414,,10000,,,0.1,
DeepSVDD,mnist,6,8,soft-boundary,0.965428556783722,0.9948399762711695,,10000,,,0.1,
DeepSVDD,mnist,6,9,one-class,0.9708719550009952,0.9954952023213903,,10000,,,0.1,
DeepSVDD,mnist,6,9,soft-boundary,0.9711396687875972,0.9955934156653112,,10000,,,0.1,
DeepSVDD,mnist,6,10,one-class,0.9547608723659804,0.9935469985757928,,10000,,,0.1,
DeepSVDD,mnist,6,10,soft-boundary,0.9557468764416024,0.9937833904711567,,10000,,,0.1,
DeepSVDD,mnist,7,1,one-class,0.9181663966234772,0.989133662906813,,10000,,,0.1,
DeepSVDD,mnist,7,1,soft-boundary,0.9152363991041736,0.9886551128890101,,10000,,,0.1,
DeepSVDD,mnist,7,2,one-class,0.9235705311466196,0.9895824110859137,,10000,,,0.1,
DeepSVDD,mnist,7,2,soft-boundary,0.9187194575080969,0.9891557272976235,,10000,,,0.1,
DeepSVDD,mnist,7,3,one-class,0.9389897189873901,0.9917756361870114,,10000,,,0.1,
DeepSVDD,mnist,7,3,soft-boundary,0.9387906561008654,0.991860572388441,,10000,,,0.1,
DeepSVDD,mnist,7,4,one-class,0.929415292886993,0.9903823450918198,,10000,,,0.1,
DeepSVDD,mnist,7,4,soft-boundary,0.9087488572315774,0.988054082344467,,10000,,,0.1,
DeepSVDD,mnist,7,5,one-class,0.9266588790721154,0.9894399388448589,,10000,,,0.1,
DeepSVDD,mnist,7,5,soft-boundary,0.9328604035728969,0.9906706251617101,,10000,,,0.1,
DeepSVDD,mnist,7,6,one-class,0.9328839311580689,0.990823683444122,,10000,,,0.1,
DeepSVDD,mnist,7,6,soft-boundary,0.9301503943960545,0.9905924204326062,,10000,,,0.1,
DeepSVDD,mnist,7,7,one-class,0.9123262428202917,0.9864241022638578,,10000,,,0.1,
DeepSVDD,mnist,7,7,soft-boundary,0.9155601473499049,0.9875276120077655,,10000,,,0.1,
DeepSVDD,mnist,7,8,one-class,0.9383826639211311,0.9912706861644757,,10000,,,0.1,
DeepSVDD,mnist,7,8,soft-boundary,0.9386068807236,0.9915510460256263,,10000,,,0.1,
DeepSVDD,mnist,7,9,one-class,0.9452423102744205,0.9926345191944723,,10000,,,0.1,
DeepSVDD,mnist,7,9,soft-boundary,0.9388287122409364,0.991829385808179,,10000,,,0.1,
DeepSVDD,mnist,7,10,one-class,0.931084450369589,0.9903500424056411,,10000,,,0.1,
DeepSVDD,mnist,7,10,soft-boundary,0.9299995793224402,0.9902625580545152,,10000,,,0.1,
DeepSVDD,mnist,8,1,one-class,0.8857712444678413,0.9836341911346872,,10000,,,0.1,
DeepSVDD,mnist,8,1,soft-boundary,0.8922616206614613,0.9857487143779402,,10000,,,0.1,
DeepSVDD,mnist,8,2,one-class,0.9021909555375277,0.9864158997284722,,10000,,,0.1,
DeepSVDD,mnist,8,2,soft-boundary,0.8992440160321699,0.9862738325931835,,10000,,,0.1,
DeepSVDD,mnist,8,3,one-class,0.9190755567648285,0.9883132832947316,,10000,,,0.1,
DeepSVDD,mnist,8,3,soft-boundary,0.9168237912742154,0.9883288106089947,,10000,,,0.1,
DeepSVDD,mnist,8,4,one-class,0.9042252338783099,0.9857902913561205,,10000,,,0.1,
DeepSVDD,mnist,8,4,soft-boundary,0.9219450904095902,0.9892004541578587,,10000,,,0.1,
DeepSVDD,mnist,8,5,one-class,0.9058877252163612,0.9867687481692584,,10000,,,0.1,
DeepSVDD,mnist,8,5,soft-boundary,0.904567389394362,0.9868221753200883,,10000,,,0.1,
DeepSVDD,mnist,8,6,one-class,0.9340858100554592,0.9900509279173976,,10000,,,0.1,
DeepSVDD,mnist,8,6,soft-boundary,0.9389656211055355,0.991043931720658,,10000,,,0.1,
DeepSVDD,mnist,8,7,one-class,0.901516540625735,0.9845432757830375,,10000,,,0.1,
DeepSVDD,mnist,8,7,soft-boundary,0.8991174139412903,0.9850668267896466,,10000,,,0.1,
DeepSVDD,mnist,8,8,one-class,0.9138837904279266,0.9873931276175829,,10000,,,0.1,
DeepSVDD,mnist,8,8,soft-boundary,0.9126017878535703,0.9875080336931514,,10000,,,0.1,
DeepSVDD,mnist,8,9,one-class,0.915583477528527,0.9872387293529776,,10000,,,0.1,
DeepSVDD,mnist,8,9,soft-boundary,0.9156080472065415,0.9877400759213202,,10000,,,0.1,
DeepSVDD,mnist,8,10,one-class,0.9261319455408537,0.9899750198961055,,10000,,,0.1,
DeepSVDD,mnist,8,10,soft-boundary,0.9283603925870552,0.9902772448957813,,10000,,,0.1,
DeepSVDD,mnist,9,1,one-class,0.9522579511567508,0.9936421625462533,,10000,,,0.1,
DeepSVDD,mnist,9,1,soft-boundary,0.949887118701126,0.993486651775523,,10000,,,0.1,
DeepSVDD,mnist,9,2,one-class,0.9478846757780796,0.9922452454032533,,10000,,,0.1,
DeepSVDD,mnist,9,2,soft-boundary,0.9465836280063789,0.9922685586787141,,10000,,,0.1,
DeepSVDD,mnist,9,3,one-class,0.9445809646228102,0.9921809100879012,,10000,,,0.1,
DeepSVDD,mnist,9,3,soft-boundary,0.9399037844143008,0.9915495849583833,,10000,,,0.1,
DeepSVDD,mnist,9,4,one-class,0.9591624440209399,0.9944616521175309,,10000,,,0.1,
DeepSVDD,mnist,9,4,soft-boundary,0.9558999589833198,0.9942542795176847,,10000,,,0.1,
DeepSVDD,mnist,9,5,one-class,0.9536808033669613,0.9934239993582108,,10000,,,0.1,
DeepSVDD,mnist,9,5,soft-boundary,0.953120613180078,0.9933528986127804,,10000,,,0.1,
DeepSVDD,mnist,9,6,one-class,0.9545207579565029,0.9933664539303799,,10000,,,0.1,
DeepSVDD,mnist,9,6,soft-boundary,0.954386938419534,0.9934079243499168,,10000,,,0.1,
DeepSVDD,mnist,9,7,one-class,0.946204215447691,0.9920858919380351,,10000,,,0.1,
DeepSVDD,mnist,9,7,soft-boundary,0.9485746069822714,0.9924493658519618,,10000,,,0.1,
DeepSVDD,mnist,9,8,one-class,0.9544761698158901,0.9930067746953385,,10000,,,0.1,
DeepSVDD,mnist,9,8,soft-boundary,0.9547116216535882,0.9931242468900852,,10000,,,0.1,
DeepSVDD,mnist,9,9,one-class,0.9487303623411982,0.992774362444028,,10000,,,0.1,
DeepSVDD,mnist,9,9,soft-boundary,0.9449639045498532,0.9923921979956623,,10000,,,0.1,
DeepSVDD,mnist,9,10,one-class,0.9546678051248031,0.994120808283935,,10000,,,0.1,
DeepSVDD,mnist,9,10,soft-boundary,0.9517755835342003,0.9937943889485084,,10000,,,0.1,
DeepSVDD,cifar10,0,1,one-class,0.5792942222222222,0.9021287200756493,,10000,,,0.1,
DeepSVDD,cifar10,0,1,soft-boundary,0.5827895000000001,0.9030775989038161,,10000,,,0.1,
DeepSVDD,cifar10,0,2,one-class,0.5949515555555556,0.9050791511938117,,10000,,,0.1,
DeepSVDD,cifar10,0,2,soft-boundary,0.6037543888888889,0.9084121788297302,,10000,,,0.1,
DeepSVDD,cifar10,0,3,one-class,0.61821,0.915277613623036,,10000,,,0.1,
DeepSVDD,cifar10,0,3,soft-boundary,0.6341385555555555,0.9189376109788389,,10000,,,0.1,
DeepSVDD,cifar10,0,4,one-class,0.6016169444444445,0.9104956353918605,,10000,,,0.1,
DeepSVDD,cifar10,0,4,soft-boundary,0.6064961111111111,0.9105379040189372,,10000,,,0.1,
DeepSVDD,cifar10,0,5,one-class,0.6375875555555556,0.9185372366042853,,10000,,,0.1,
DeepSVDD,cifar10,0,5,soft-boundary,0.6323231666666667,0.9175026583139982,,10000,,,0.1,
DeepSVDD,cifar10,0,6,one-class,0.6384304999999999,0.9214256639938234,,10000,,,0.1,
DeepSVDD,cifar10,0,6,soft-boundary,0.6374142222222223,0.9208144237761451,,10000,,,0.1,
DeepSVDD,cifar10,0,7,one-class,0.6127514444444444,0.911545847984043,,10000,,,0.1,
DeepSVDD,cifar10,0,7,soft-boundary,0.6157550555555555,0.9116364218809072,,10000,,,0.1,
DeepSVDD,cifar10,0,8,one-class,0.6043692222222222,0.9106806636028766,,10000,,,0.1,
DeepSVDD,cifar10,0,8,soft-boundary,0.6252999444444445,0.915563948672087,,10000,,,0.1,
DeepSVDD,cifar10,0,9,one-class,0.5576622777777779,0.8960973693071792,,10000,,,0.1,
DeepSVDD,cifar10,0,9,soft-boundary,0.5477377222222222,0.8945466882371769,,10000,,,0.1,
DeepSVDD,cifar10,0,10,one-class,0.6261414444444444,0.9147249017767785,,10000,,,0.1,
DeepSVDD,cifar10,0,10,soft-boundary,0.6291349444444445,0.9160272709825785,,10000,,,0.1,
DeepSVDD,cifar10,1,1,one-class,0.605357,0.9337127178098806,,10000,,,0.1,
DeepSVDD,cifar10,1,1,soft-boundary,0.6204306666666666,0.9366051983920678,,10000,,,0.1,
