category,method,auroc_mean,auroc_sd
tile,PatchCore_same_fit_top1pct,0.9902597402597403,0.0007215007215007618
tile,PatchScore_byte_budget,0.9913419913419914,0.0039021117699827097
tile,PatchScore_same_centers,0.9925444925444925,0.00020827931788947902
tile,RBF_SVDD,0.9896584896584897,0.0011596501636595175
toothbrush,Bubble_B,0.7555555555555555,0.02735793833832253
toothbrush,Bubble_BA,0.7527777777777778,0.029397236789606575
toothbrush,Bubble_BAD,0.762962962962963,0.03517299983930107
toothbrush,Bubble_BAF,0.7814814814814816,0.022280017436140737
toothbrush,DROCC_head,0.38981481481481484,0.05985665318108884
toothbrush,DeepSVDD_head,0.6305555555555555,0.029000851413640425
toothbrush,NBD,0.7546296296296297,0.06510516974535907
toothbrush,PatchCore_same_fit_top1pct,0.9981481481481481,0.0016037507477489707
toothbrush,PatchScore_byte_budget,0.9972222222222222,0.0
toothbrush,PatchScore_same_centers,0.9898148148148148,0.005782405554072601
toothbrush,RBF_SVDD,0.7907407407407407,0.008018753738744869
transistor,Bubble_B,0.9401388888888889,0.018382194988428163
transistor,Bubble_BA,0.94125,0.01341123078285926
transistor,Bubble_BAD,0.8802777777777777,0.038281970420280836
transistor,Bubble_BAF,0.9431944444444444,0.020751227094461772
transistor,DROCC_head,0.5241666666666667,0.04185789451624787
transistor,DeepSVDD_head,0.8388888888888889,0.025513250007122245
transistor,NBD,0.8870833333333333,0.03970595043567143
transistor,PatchCore_same_fit_top1pct,0.9994444444444444,0.0004811252243246512
transistor,PatchScore_byte_budget,0.9994444444444445,0.0006364688465216349
transistor,PatchScore_same_centers,0.9916666666666667,0.0026020824993327036
transistor,RBF_SVDD,0.6697222222222222,0.009774660172173873
wood,Bubble_B,0.9725146198830409,0.025579364502972088
wood,Bubble_BA,0.9814327485380115,0.010888623497874523
wood,Bubble_BAD,0.9877192982456141,0.006140350877192918
wood,Bubble_BAF,0.9900584795321636,0.0035451332318661363
wood,DROCC_head,0.5371345029239766,0.36667226275144255
wood,DeepSVDD_head,0.9804093567251462,0.0026798688274595577
wood,NBD,0.9850877192982456,0.00614035087719292
wood,PatchCore_same_fit_top1pct,0.9915204678362572,0.002819780924266949
wood,PatchScore_byte_budget,0.9921052631578947,0.003162764276722777
wood,PatchScore_same_centers,0.9903508771929824,0.0015193428136568825
wood,RBF_SVDD,0.9883040935672515,0.0005064476045522648
zipper,Bubble_B,0.9465598739495799,0.039669662115049936
zipper,Bubble_BA,0.9457720588235294,0.03872400519861841
zipper,Bubble_BAD,0.8907563025210083,0.07261777299001022
zipper,Bubble_BAF,0.9466036414565826,0.04235383258268377
zipper,DROCC_head,0.3944327731092437,0.0540985507943043
zipper,DeepSVDD_head,0.9592086834733893,0.008404728967843264
zipper,NBD,0.8901435574229692,0.07831150648153304
zipper,PatchCore_same_fit_top1pct,0.9951855742296919,0.00030323018339791164
zipper,PatchScore_byte_budget,0.9962359943977591,0.0007580754584947951
zipper,PatchScore_same_centers,0.9900210084033615,0.0018936718883739371
zipper,RBF_SVDD,0.8068977591036415,0.012273332978876415
